"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
15 Jun 2022 16:33:47.842,352.375,18.784,1099.989746
15 Jun 2022 16:33:48.000,352.444,18.789,1099.283336
15 Jun 2022 16:33:49.000,352.887,18.816,1094.844459
15 Jun 2022 16:33:50.000,353.334,18.842,1090.461486
15 Jun 2022 16:33:51.000,353.784,18.866,1086.135134
15 Jun 2022 16:33:52.000,354.239,18.890,1081.866121
15 Jun 2022 16:33:53.000,354.697,18.912,1077.655170
15 Jun 2022 16:33:54.000,355.158,18.933,1073.503003
15 Jun 2022 16:33:55.000,355.624,18.952,1069.410345
15 Jun 2022 16:33:56.000,356.092,18.970,1065.377922
15 Jun 2022 16:33:57.000,356.565,18.987,1061.406461
15 Jun 2022 16:33:58.000,357.041,19.002,1057.496689
15 Jun 2022 16:33:59.000,357.521,19.016,1053.649331
15 Jun 2022 16:34:00.000,358.005,19.028,1049.865116
15 Jun 2022 16:34:01.000,358.492,19.039,1046.144767
15 Jun 2022 16:34:02.000,358.982,19.048,1042.489010
15 Jun 2022 16:34:03.000,359.476,19.056,1038.898566
15 Jun 2022 16:34:04.000,359.973,19.062,1035.374155
15 Jun 2022 16:34:05.000,0.474,19.066,1031.916494
15 Jun 2022 16:34:06.000,0.978,19.069,1028.526296
15 Jun 2022 16:34:07.000,1.486,19.069,1025.204229
15 Jun 2022 16:34:08.000,1.997,19.068,1021.951036
15 Jun 2022 16:34:09.000,2.511,19.066,1018.767425
15 Jun 2022 16:34:10.000,3.028,19.061,1015.654091
15 Jun 2022 16:34:11.000,3.548,19.055,1012.611724
15 Jun 2022 16:34:12.000,4.072,19.047,1009.641006
15 Jun 2022 16:34:13.000,4.598,19.036,1006.742611
15 Jun 2022 16:34:14.000,5.128,19.024,1003.917206
15 Jun 2022 16:34:15.000,5.660,19.010,1001.165451
15 Jun 2022 16:34:16.000,6.195,18.994,998.487993
15 Jun 2022 16:34:17.000,6.733,18.976,995.885471
15 Jun 2022 16:34:18.000,7.273,18.956,993.358515
15 Jun 2022 16:34:19.000,7.816,18.934,990.907742
15 Jun 2022 16:34:20.000,8.362,18.909,988.533758
15 Jun 2022 16:34:21.000,8.910,18.883,986.237155
15 Jun 2022 16:34:22.000,9.460,18.854,984.018516
15 Jun 2022 16:34:23.000,10.012,18.824,981.878407
15 Jun 2022 16:34:24.000,10.567,18.791,979.817381
15 Jun 2022 16:34:25.000,11.124,18.756,977.835976
15 Jun 2022 16:34:26.000,11.683,18.719,975.934715
15 Jun 2022 16:34:27.000,12.243,18.679,974.114119
15 Jun 2022 16:34:28.000,12.806,18.638,972.374687
15 Jun 2022 16:34:29.000,13.370,18.594,970.716866
15 Jun 2022 16:34:30.000,13.936,18.548,969.141109
15 Jun 2022 16:34:31.000,14.503,18.500,967.647856
15 Jun 2022 16:34:32.000,15.072,18.449,966.237525
15 Jun 2022 16:34:33.000,15.642,18.396,964.910516
15 Jun 2022 16:34:34.000,16.213,18.341,963.667210
15 Jun 2022 16:34:35.000,16.785,18.284,962.507967
15 Jun 2022 16:34:36.000,17.358,18.225,961.433129
15 Jun 2022 16:34:37.000,17.932,18.163,960.443015
15 Jun 2022 16:34:38.000,18.507,18.099,959.537923
15 Jun 2022 16:34:39.000,19.082,18.033,958.718131
15 Jun 2022 16:34:40.000,19.658,17.965,957.983895
15 Jun 2022 16:34:41.000,20.234,17.894,957.335446
15 Jun 2022 16:34:42.000,20.811,17.821,956.772997
15 Jun 2022 16:34:43.000,21.387,17.746,956.296735
15 Jun 2022 16:34:44.000,21.964,17.669,955.906824
15 Jun 2022 16:34:45.000,22.541,17.590,955.603407
15 Jun 2022 16:34:46.000,23.117,17.508,955.386603
15 Jun 2022 16:34:47.000,23.693,17.425,955.256505
15 Jun 2022 16:34:48.000,24.269,17.339,955.213190
15 Jun 2022 16:34:49.000,24.844,17.252,955.256706
15 Jun 2022 16:34:50.000,25.419,17.162,955.387075
15 Jun 2022 16:34:51.000,25.992,17.070,955.604298
15 Jun 2022 16:34:52.000,26.565,16.977,955.908348
15 Jun 2022 16:34:53.000,27.137,16.881,956.299179
15 Jun 2022 16:34:54.000,27.708,16.784,956.776718
15 Jun 2022 16:34:55.000,28.278,16.684,957.340868
15 Jun 2022 16:34:56.000,28.846,16.583,957.991509
15 Jun 2022 16:34:57.000,29.413,16.480,958.728499
15 Jun 2022 16:34:58.000,29.979,16.376,959.551670
15 Jun 2022 16:34:59.000,30.542,16.269,960.460835
15 Jun 2022 16:35:00.000,31.105,16.161,961.455779
15 Jun 2022 16:35:01.000,31.665,16.051,962.536269
15 Jun 2022 16:35:02.000,32.223,15.940,963.702048
15 Jun 2022 16:35:03.000,32.780,15.827,964.952837
15 Jun 2022 16:35:04.000,33.334,15.712,966.288337
15 Jun 2022 16:35:05.000,33.886,15.596,967.708227
15 Jun 2022 16:35:06.000,34.436,15.479,969.212165
15 Jun 2022 16:35:07.000,34.983,15.360,970.799789
15 Jun 2022 16:35:08.000,35.528,15.240,972.470693
15 Jun 2022 16:35:09.000,36.070,15.118,974.224491
15 Jun 2022 16:35:09.960,36.589,15.001,975.985745

